Path	Purpose	Status	Authority	Action
miataru/.specstory/history/2025-08-26_14-07Z-reload-button-mit-long-press-aktualisieren.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_14-12Z-fehleroverlay-bei-routenfehler-anzeigen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_14-21Z-überprüfung-und-änderung-des-navigationtransporttype.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-27_07-14Z-layout-issue-on-ipad-view.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-27_08-03Z-implement-scale-bar-and-compass-in-views.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-27_08-30Z-kontextmenüpunkt-navigate-auf-lokalen-geräten.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-27_08-36Z-change-user-position-behavior-in-maps.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-27_08-45Z-wo-wird-die-reisezeit-angezeigt.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-27_09-25Z-navigation-starten-bei-swipe-left-auf-devicerow.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-27_10-32Z-update-onchange-usage-for-ios-17.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-27_12-02Z-navigation-map-ignores-map-configuration.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-28_07-32Z-fixing-type-conversion-error-in-swift.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-28_07-37Z-kontextmenü-nur-für-gültige-standorte.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-28_08-55Z-fixing-missing-member-in-swift-class.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-28_10-10Z-fensterwiederherstellung-bei-neustart-verhindern.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-28_11-15Z-default-settings-for-route-progress.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-28_12-00Z-zeige-den-gerätenamen-an.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-28_12-07Z-überprüfung-der-tipper-implementierung.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-28_12-09Z-fortschrittsschwelle-für-routenanzeige.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-28_12-27Z-voiceover-für-die-gesamte-app-aktivieren.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-29_09-28Z-gestaltung-eines-offenen-pfeilkopfs.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-29_09-59Z-fehlende-navigate-option-im-ipad-devicesview.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-29_10-11Z-swift-programming-error-resolution.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-30_08-55Z-vordergrundfarbe-je-nach-modus.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-30_09-12Z-socket-option-error-connection-idle.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-31_07-53Z-markerpins-im-sichtbaren-kartenausschnitt-anzeigen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-31_08-36Z-disable-other-devices-display-setting.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-01_08-52Z-einführung-eines-pulsierenden-map-marker-settings.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-01_10-44Z-navigation-funktion-im-kontextmenü-überprüfen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-01_10-56Z-global-setting-for-automatic-route-updates.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-03_11-20Z-alle-sinnvollen-einstellungen-synchronisieren.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-03_11-27Z-füge-routecounter-zur-statistik-hinzu.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-03_11-36Z-erweiterung-des-miataruapiclient.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-03_11-56Z-offscreen-arrows-ein-und-ausblenden.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-05_10-03Z-reverse-geocoding-lookup-bedingungen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-05_10-10Z-fix-cllocationcoordinate2d-member-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-05_10-14Z-implement-battery-symbol-in-devicerow.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-05_10-34Z-incorporate-optional-speed-in-ghost-position.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-05_11-09Z-bezeichnungen-für-höhe-in-mehreren-sprachen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-05_11-13Z-zstack-breiter-als-devicebatterysymbol.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-05_11-23Z-auslagern-der-annotation-in-eigene-view.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_09-16Z-compiler-error-in-swift-expression.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_09-37Z-warum-kein-devicerow-und-batteriesymbole.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_09-51Z-allgemeinere-iphone-grouprowview-swift.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_09-54Z-fehlerhafte-präsentation-von-ipad-groupdetailview.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_09-58Z-buttons-not-visible-on-ipad-view.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_10-04Z-geschwindigkeit-in-der-routenberechnung.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_10-12Z-zoom-und-pan-verhalten-anpassen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_11-45Z-mapscalebar-für-ipad-anpassen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_11-52Z-autocenterzoom-user-interaction-requirements.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_12-05Z-autocenter-deaktivieren-bei-nutzerinteraktionen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_12-17Z-füge-ein-paar-debug-ausgaben-hinzu.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_12-42Z-strategien-für-caching-und-performance.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_13-30Z-git-ignore-miataru-xcodeproj-user-data.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_13-46Z-app-cold-start-initialization-mechanism.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_13-51Z-größe-des-mapmarkers-anpassen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_13-55Z-implement-caching-and-rendering-strategy.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-07_14-10Z-ios-app-für-macos-anpassen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-08_07-24Z-caching-issues-with-dark-light-mode.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-08_07-34Z-positionierung-des-pulsingcircle-anpassen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-10_07-09Z-positionierung-des-miatarumapmarkers-überprüfen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-10_09-28Z-tab-bar-tinting-issues-in-dark-mode.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-10_09-42Z-animationen-bei-mehr-als-fünf-geräten-deaktivieren.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-10_09-59Z-formatter-aktualisieren-sich-nicht-richtig.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-10_10-10Z-warum-wird-die-zeit-nicht-aktualisiert.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-10_10-14Z-aktualisierungsproblem-der-miatarumappin.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-10_11-48Z-hintergrundaktualisierungen-funktionieren-nicht.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-12_08-26Z-die-tastatur-überdeckt-das-eingabefeld.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-12_08-53Z-pulsing-circle-display-issue-on-maps.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-09-12_09-06Z-farben-für-tab-bars-zentralisieren.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-10-04_13-00Z-adjust-map-scale-bar-glass-effect.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-10-11_15-09Z-implement-bottom-accessory-for-navigation-eta.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-10-11_15-52Z-replace-custom-label-with-ios-annotation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-11_10-21Z-devicehistorymapview-incorrect-zoom-and-data.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-23_11-48Z-map-device-pin-tap-area.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-23_12-04Z-floating-map-timeline-selection.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-23_13-49Z-map-item-selection-marker-display.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_11-10Z-timeline-scrubbing-performance.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_12-13Z-button-glass-effect-on-ios-26.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_12-44Z-io26-branch-animation-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_12-51Z-timeline-playback-point-drawing.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_12-55Z-timeline-overlay-color-scale.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_13-42Z-iphone-devicehistorymapview-refactoring-and-simplification.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_13-48Z-device-history-timeline-overlay-touch-area.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_14-39Z-no-history-message-display-on-map.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_14-51Z-miataruapiclient-history-decoding-error.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_14-59Z-iphone-device-history-map-range-crash.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_15-17Z-ipad-navigation-bottom-accessory-missing.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_15-23Z-close-device-context-menu-on-map.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-24_15-29Z-closely-positioned-devices-tapability.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-25_09-49Z-location-update-encoding-error.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-25_20-03Z-nearby-device-selection-sheet-delay.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-26_14-30Z-iphone-device-map-view-debug-output.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-26_15-02Z-iphone-navigation-direction-reversal.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-28_15-26Z-map-marker-y-axis-offset.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-28_15-56Z-map-marker-vertical-offset.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-28_16-05Z-off-screen-device-arrows-fade-behavior.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-28_16-29Z-timezone-from-map-location.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-12-28_16-51Z-global-timeline-coloring-for-device-history.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-02_16-25Z-ghost-device-position-speed-integration.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-02_16-46Z-french-and-spanish-language-translation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-03_20-51Z-info-plist-translation-synchronization.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-03_21-00Z-ipad-view-top-whitespace.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-03_21-27Z-history-map-connection-simplification-logic.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-05_17-09Z-mobile-map-element-corner-spacing.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-05_17-17Z-playback-button-speed-control.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-05_19-42Z-iphone-ipad-app-device-location-widgets.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-06_16-03Z-widget-location-fetching-implementation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-06_16-18Z-widget-device-opening-and-url-handling.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-07_19-09Z-map-widget-text-display-consolidation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-07_19-26Z-widget-location-update-logic.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-07_19-30Z-miataru-url-device-opening-on-app-start.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-07_20-21Z-deep-link-device-map-override.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-07_20-27Z-map-widget-pre-render-update-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-08_15-35Z-map-widget-device-view-conflict.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-08_16-57Z-app-and-widget-version-synchronization.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-08_17-05Z-map-widget-update-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-09_13-47Z-manual-zoom-during-playback.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-11_18-51Z-ipad-app-dark-mode-colors-on-macos.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-12_11-46Z-map-widget-image-rendering-issues.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-12_13-08Z-multiple-iphone-map-widget-rendering.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-12_16-21Z-multiple-map-widget-rendering-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-12_17-18Z-empty-home-screen-widgets-after-update.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-13_11-51Z-zoom-overlay-display-synchronization.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-14_18-33Z-app-store-location-permission-rejection.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-14_18-50Z-miataru-location-permission-message.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-14_20-03Z-widget-localization-missing-translations.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-14_20-17Z-macos-native-app-development-plan.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-16_08-39Z-a-debugging-session.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-17_12-52Z-self-scope-and-extraneous-brace-errors.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-17_12-59Z-macos-build-configuration-and-view-omission.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-17_14-51Z-mac-onboarding-views-implementation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-17_15-05Z-mac-groups-view-type-check-timeout.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-18_14-55Z-navigation-stop-proximity-logic.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-18_15-06Z-history-playback-button-and-toolbar-collapse.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-18_15-14Z-device-location-refresh-deduplication.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-18_15-32Z-app-store-description.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-18_15-40Z-proximity-navigation-notification-behavior.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-19_19-19Z-miataru-client-getvisitorhistory-api-support.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-19_19-35Z-miataru-mutual-navigation-and-visitor-history.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-20_19-03Z-devicenavigationview-compiler-type-check-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-20_19-12Z-device-visitor-history-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-20_19-24Z-miataru-server-time-based-location-updates.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-21_17-25Z-qr-code-tab-name-change.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-21_17-29Z-visitor-view-access-time-display.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-21_18-00Z-unknown-device-add-sheet-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-21_18-29Z-visitor-device-map-display.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-21_18-36Z-internationalization-keys-usage.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-21_18-46Z-periodic-location-update-feature-removal.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-22_16-03Z-anrede-konsistenz-in-app-übersetzungen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-22_17-08Z-changes-description-and-commit.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-23_18-03Z-mutually-active-display-update-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-23_18-09Z-missing-route-polyline-updates.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-23_18-40Z-visitor-history-device-distance.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-23_19-25Z-device-visitor-history-indicator.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-23_20-18Z-widget-initiated-requests-count.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-23_20-27Z-new-device-default-color.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-24_14-55Z-iphone-3-onboarding-view-alignment.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-24_15-02Z-ipad-multi-window-device-selection-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-24_16-43Z-ipad-widget-deeplink-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-24_16-47Z-ipad-app-window-device-independence.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-24_19-34Z-deep-uri-device-id-case-sensitivity.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-24_19-38Z-show-current-speed-on-map-toggle.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-29_19-44Z-speed-on-map-toggle-plan-localization.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-29_20-28Z-groups-list-ui-integration.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_08-58Z-mutually-active-navigation-sound-effects.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_10-58Z-mutual-navigation-sound-assets.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_11-00Z-project-plan-execution.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_11-15Z-miataru-map-marker-speed-display.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_11-42Z-haptics-for-navigation-and-app-evaluation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_11-42Z-map-marker-device-speed-display.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_16-27Z-navigationoverlaykit-integration-for-route-instructions.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_17-44Z-navigation-route-flipping-behavior.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_18-05Z-energy-saving-mode-animation-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_18-48Z-visitor-log-placement-on-qr-code-tab.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-30_19-05Z-visitor-history-refresh-behavior.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_11-43Z-device-list-update-frequency.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_12-30Z-miataruapiclient-signature-and-devicekey.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_13-57Z-devicekey-authentication-and-management-plan.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_13-59Z-miataru-devicekey-authentication-plan.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_15-59Z-devicekey-onboarding-view-adjustments.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_16-12Z-existing-user-post-update-onboarding-views.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_16-26Z-iphone-onboarding-text-localization.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_20-12Z-device-key-sheet-translation-and-function.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_20-19Z-iphone-location-status-view-version-and-build.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_20-23Z-iphone-location-status-view-api-counters.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_20-52Z-device-key-restore-sheet-translation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_20-57Z-device-key-button-sheet-relocation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_21-04Z-devicekey-dark-mode-button-readability.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-01-31_22-33Z-add-group-button-styling.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-02_13-10Z-iphone-devicekey-visitor-history-retrieval.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-02_13-14Z-getvisitorhistory-calls-without-devicekey.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-02_13-39Z-onboarding-devicekey-button-configuration.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-02_13-47Z-ios-background-location-speed-information.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-02_13-48Z-settings-section-name-change.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-02_13-58Z-stale-localizations-in-xcode-sheets.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-02_17-33Z-reversed-route-navigation-display.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-03_19-45Z-navigation-overlay-ui-visibility.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-04_14-44Z-flickering-navigation-route-display.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-04_17-13Z-double-tap-navigation-map-views.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-04_18-43Z-navigation-route-request-evaluation-and-optimization.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-04_19-16Z-ghost-display-on-reversed-navigation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-05_15-11Z-erweiterte-karten-navigation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-05_15-50Z-turn-by-turn-navigation-haptics-and-sound.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2026-02-05_18-06Z-unused-user-variable-warning.md	Historical chat record	historisch	Git history	Retain; never require new chat records
